Título do Filme;Ano;Diretor;Gênero;Sinopse;Avaliação;Prêmios
O Poderoso Chefão;1972;Francis Ford Coppola;Drama / Crime;"A saga da família Corleone, liderada pelo patriarca Vito Corleone, e seu filho Michael, que assume o controle do império do crime da família após uma série de eventos violentos.";9.2;"Vencedor de três Oscars, incluindo Melhor Filme."
O Poderoso Chefão II;1974;Francis Ford Coppola;Drama / Crime;"Explora tanto a ascensão de Vito Corleone quanto o reinado de seu filho Michael, entrelaçando suas histórias em uma narrativa épica.";9.0;"Vencedor de seis Oscars, incluindo Melhor Filme."
O Poderoso Chefão III;1990;Francis Ford Coppola;Drama / Crime;"A tentativa de Michael Corleone de legitimar os negócios da família enquanto enfrenta desafios de poder e luta para manter sua integridade moral.";7.6;"Recebeu sete indicações ao Oscar."
Os Bons Companheiros;1990;Martin Scorsese;Drama / Crime;"A ascensão e queda de um grupo de gângsteres em Nova York, explorando lealdade, amizade e traição.";8.7;"Indicado ao Oscar de Melhor Diretor."
Scarface;1983;Brian De Palma;Drama / Crime;"A ascensão e queda de Tony Montana, um imigrante cubano que se torna um poderoso traficante de drogas em Miami.";8.3;"-"
Os Intocáveis;1987;Brian De Palma;Drama / Crime;"A história real do agente do Tesouro Eliot Ness e sua equipe tentando derrubar o império do crime de Al Capone durante a Lei Seca.";7.9;"Venceu o Oscar de Melhor Ator Coadjuvante (Sean Connery)."
Era uma Vez na América;1984;Sergio Leone;Drama / Crime;"A vida de um grupo de amigos do Brooklyn, desde a infância até se tornarem criminosos estabelecidos durante as décadas de 1920 e 1930.";8.4;"-"
Cassino;1995;Martin Scorsese;Drama / Crime;"A ascensão e queda de um gerente de cassino e seu relacionamento com uma mulher problemática enquanto operam em Las Vegas.";8.2;"Indicações ao Oscar."
Pulp Fiction: Tempo de Violência;1994;Quentin Tarantino;Crime / Drama;"Várias histórias interligadas explorando temas de violência, redenção e moralidade.";8.9;"Venceu o Oscar de Melhor Roteiro Original."
Donnie Brasco;1997;Mike Newell;Drama / Crime;"A história real de Joe Pistone, um agente do FBI que se infiltra na máfia como o gângster Donnie Brasco.";7.7;"-"
Gangues de Nova York;2002;Martin Scorsese;Drama / Crime;"A rivalidade entre gangues em Nova York durante o século XIX, enquanto a cidade passa por mudanças sociais e políticas.";7.5;"Recebeu várias indicações ao Oscar."
Infernal Affairs;2002;Andrew Lau, Alan Mak;Drama / Crime;"Um policial infiltrado e um membro da gangue tentam descobrir a identidade do traidor em suas organizações.";8.1;"Recebeu vários prêmios de cinema de Hong Kong."
Os Infiltrados;2006;Martin Scorsese;Drama / Crime;"Um policial disfarçado e um criminoso infiltrado tentam descobrir a identidade um do outro.";8.5;"Venceu quatro Oscars, incluindo Melhor Filme e Melhor Diretor."
O Irlandês;2019;Martin Scorsese;Drama / Crime;"A vida de Frank Sheeran, um assassino da máfia, e seu envolvimento com a família criminosa Bufalino e o líder sindical Jimmy Hoffa.";7.8;"Recebeu várias indicações ao Oscar."
Bonnie & Clyde - Uma Rajada de Balas;1967;Arthur Penn;Drama / Crime;"A história real dos famosos criminosos Bonnie Parker e Clyde Barrow durante a Grande Depressão.";7.8;"Venceu dois Oscars, incluindo Melhor Atriz (Faye Dunaway)."
Inimigos Públicos;2009;Michael Mann;Drama / Crime;"A história real de John Dillinger e sua gangue durante a Grande Depressão, enquanto o agente do FBI Melvin Purvis tenta capturá-los.";7.0;"-"
O Gatilho Mais Rápido;1956;John Sturges;Drama / Crime;"A rivalidade entre dois irmãos pistoleiros durante o Velho Oeste.";7.7;"-"
Estrada para a Perdição;2002;Sam Mendes;Drama / Crime;"A jornada de um assassino de aluguel e seu filho enquanto fogem de um chefe da máfia após um incidente trágico.";7.7;"Venceu o Oscar de Melhor Fotografia."
Cães de Aluguel;1992;Quentin Tarantino;Crime / Suspense;"Um grupo de criminosos se reúne para realizar um grande assalto, mas as coisas dão errado quando a polícia aparece.";8.3;"Recebeu vários prêmios de cinema independentes."
O Gângster;2007;Ridley Scott;Drama / Crime;"A história real de Frank Lucas, um traficante de drogas em Nova York durante os anos 1970, e o detetive Richie Roberts que tenta derrubá-lo.";7.8;"Indicações ao Oscar."
Scarface - A Vergonha de uma Nação;1932;Howard Hawks;Drama / Crime;"A ascensão e queda de Tony Camonte, um gângster ambicioso em Chicago.";7.8;"-"
Gomorra;2008;Matteo Garrone;Drama / Crime;"A vida no submundo da máfia italiana, mostrando a brutalidade e a corrupção que permeiam a sociedade.";7.0;"Vencedor do Grande Prêmio do Júri no Festival de Cannes."
O Franco-Atirador;1978;Michael Cimino;Drama / Crime;"Um grupo de amigos do interior dos Estados Unidos se envolve em atividades criminosas após retornar da Guerra do Vietnã.";8.1;"Vencedor de cinco Oscars, incluindo Melhor Filme."
Bone Tomahawk;2015;S. Craig Zahler;Drama / Terror / Faroeste;"Um grupo de homens parte em uma perigosa missão de resgate para salvar prisioneiros de uma tribo canibal.";7.1;"-"
A Última Noite;2002;Spike Lee;Drama / Crime;"Durante o apagão de Nova York em 1977, várias histórias se entrelaçam em meio ao caos da cidade.";6.4;"-"
O Império do Crime;2005;Jean-François Richet;Drama / Crime;"A história real do criminoso Jacques Mesrine, desde seus primeiros delitos até se tornar o inimigo número um da polícia francesa.";7.0;"-"
Os Imperdoáveis;1992;Clint Eastwood;Drama / Faroeste;"Um ex-pistoleiro é persuadido a realizar um último trabalho que o leva a confrontar seus próprios demônios.";8.2;"Vencedor de quatro Oscars, incluindo Melhor Filme."
Entre Tiros e Vinhos;2005;Robert Rodriguez, Frank Miller, Quentin Tarantino;Crime / Suspense;"Uma adaptação de histórias em quadrinhos noir, apresentando três contos interligados de crime, violência e redenção.";6.5;"-"
Velozes e Furiosos;2001;Rob Cohen;Ação / Crime;"Um policial disfarçado se infiltra em uma gangue de corridas de rua para investigar roubos de equipamentos eletrônicos.";6.8;"-"
